10;2008339039;02;01001;27;811;0003;2008;    ;339039;40000,00;
11;2008339039;100;40000,00;
10;2009335041;02;01001;27;812;0003;2009;    ;335041;65000,00;
11;2009335041;100;65000,00;
10;2009339030;02;01001;27;812;0003;2009;    ;339030;30000,00;
11;2009339030;100;30000,00;
10;2009339036;02;01001;27;812;0003;2009;    ;339036;1,00;
11;2009339036;100;1,00;
10;2009339039;02;01001;27;812;0003;2009;    ;339039;2,00;
11;2009339039;124;1,00;
11;2009339039;100;1,00;
10;2010339030;02;01001;27;813;0003;2010;    ;339030;15000,00;
11;2010339030;100;15000,00;
10;2010339036;02;01001;27;813;0003;2010;    ;339036;5000,00;
11;2010339036;100;5000,00;
10;2010339039;02;01001;27;813;0003;2010;    ;339039;2,00;
11;2010339039;124;1,00;
11;2010339039;100;1,00;
10;2010449051;02;01001;27;813;0003;2010;    ;449051;40001,00;
11;2010449051;124;1,00;
11;2010449051;100;40000,00;
10;2011339030;02;01001;27;811;0003;2011;    ;339030;400,00;
11;2011339030;100;400,00;
10;2011339036;02;01001;27;811;0003;2011;    ;339036;1,00;
11;2011339036;100;1,00;
10;2011339039;02;01001;27;811;0003;2011;    ;339039;600,00;
11;2011339039;100;600,00;
10;2014339030;02;01101;18;544;0004;2014;    ;339030;1,00;
11;2014339030;100;1,00;
10;2014339039;02;01101;18;544;0004;2014;    ;339039;30001,00;
11;2014339039;124;30000,00;
11;2014339039;100;1,00;
10;2014339093;02;01101;18;544;0004;2014;    ;339093;1,00;
11;2014339093;124;1,00;
10;2014449051;02;01101;18;544;0004;2014;    ;449051;2,00;
11;2014449051;100;1,00;
11;2014449051;124;1,00;
10;2016339030;02;01101;18;541;0004;2016;    ;339030;1,00;
11;2016339030;100;1,00;
10;2016339039;02;01101;18;541;0004;2016;    ;339039;1,00;
11;2016339039;100;1,00;
10;2016449051;02;01101;18;541;0004;2016;    ;449051;2000,00;
11;2016449051;100;2000,00;
10;2018335041;02;01101;18;452;0005;2018;    ;335041;100000,00;
11;2018335041;100;100000,00;
10;2018339030;02;01101;18;452;0005;2018;    ;339030;1,00;
11;2018339030;100;1,00;
10;2018339032;02;01101;18;452;0005;2018;    ;339032;800,00;
11;2018339032;100;800,00;
10;2018339036;02;01101;18;452;0005;2018;    ;339036;1,00;
11;2018339036;100;1,00;
10;2018339039;02;01101;18;452;0005;2018;    ;339039;1300000,00;
11;2018339039;100;1300000,00;
10;2018449051;02;01101;18;452;0005;2018;    ;449051;300000,00;
11;2018449051;190;300000,00;
10;2018449052;02;01101;18;452;0005;2018;    ;449052;200001,00;
11;2018449052;100;1,00;
11;2018449052;190;200000,00;
