10;02;007431;02012017;
14;74441;03;1;02;01402;10;303;0041;2100;    ;339091;102;11000,00;
14;74441;03;2;02;01402;10;303;0041;2100;    ;339030;148;3500,00;
14;74441;03;1;02;01402;10;303;0041;2100;    ;339039;148;3500,00;
11;74445;007444;01;246859,62;
12;74445;2562;30112016;LOA; ;246859,62;
13;74445;01;246859,62;
14;74445;01;1;02;01001;27;812;0003;1001;    ;449051;224;57789,95;
14;74445;01;1;02;01001;27;812;0003;1001;    ;449052;224;35809,08;
14;74445;01;1;02;01201;15;451;0078;2222;    ;449051;224;153260,59;
10;02;007446;10012017;
11;74461;007446;01;43600,00;
12;74461;2562;30112016;LOA; ;43600,00;
13;74461;03;43600,00;
14;74461;03;1;02;00901;12;122;0002;2190;    ;339041;100;30000,00;
14;74461;03;2;02;00901;12;361;0031;2082;    ;339030;100;15000,00;
14;74461;03;2;02;00901;12;365;0031;2083;    ;339030;100;15000,00;
14;74461;03;2;02;01402;10;122;0044;2109;    ;339036;102;2000,00;
14;74461;03;1;02;01402;10;122;0044;2109;    ;339039;102;2000,00;
14;74461;03;2;02;01402;10;272;0002;2257;    ;319013;148;11000,00;
14;74461;03;1;02;01402;10;303;0041;2100;    ;339039;148;11000,00;
14;74461;03;1;02;01402;10;305;0046;2116;    ;339039;150;600,00;
14;74461;03;2;02;01402;10;305;0046;2124;    ;339030;150;600,00;
10;02;007450;12012017;
11;74501;007450;01;74000,00;
12;74501;2562;30112016;LOA; ;74000,00;
13;74501;03;74000,00;
14;74501;03;1;02;00301;04;123;0057;0002;    ;329021;100;66000,00;
14;74501;03;2;02;00301;04;123;0057;0002;    ;329121;100;66000,00;
14;74501;03;1;02;00702;08;244;0023;1010;    ;339039;156;8000,00;
14;74501;03;2;02;00702;08;244;0028;2229;    ;339039;156;8000,00;
11;74505;007450;01;1652010,00;
12;74505;2562;30112016;LOA; ;1652010,00;
13;74505;01;1652010,00;
14;74505;01;1;02;01402;10;302;0042;2102;    ;339030;249;35000,00;
14;74505;01;1;02;01402;10;302;0042;2103;    ;335041;249;210000,00;
14;74505;01;1;02;01402;10;302;0042;2103;    ;339030;249;610408,00;
14;74505;01;1;02;01402;10;302;0042;2103;    ;339039;249;159000,00;
14;74505;01;1;02;01402;10;302;0042;2104;    ;319011;249;364789,00;
14;74505;01;1;02;01402;10;302;0042;2104;    ;339030;249;22813,00;
14;74505;01;1;02;01402;10;302;0042;2254;    ;339039;249;250000,00;
10;02;007457;17012017;
11;74571;007457;01;100650,00;
12;74571;2562;30112016;LOA; ;100650,00;
13;74571;03;100650,00;
14;74571;03;1;02;00901;12;122;0002;2190;    ;335041;100;2000,00;
14;74571;03;2;02;00901;12;361;0031;2082;    ;339030;100;3150,00;
14;74571;03;1;02;00901;12;364;0030;2078;    ;339039;100;1150,00;
14;74571;03;2;02;01402;10;122;0002;2197;    ;339030;102;1000,00;
14;74571;03;1;02;01402;10;122;0002;2197;    ;339039;102;1000,00;
14;74571;03;2;02;01402;10;301;0043;2114;    ;339039;148;15000,00;
14;74571;03;2;02;01402;10;302;0042;2102;    ;339030;149;18500,00;
14;74571;03;1;02;01402;10;302;0042;2102;    ;339039;149;18500,00;
