17;111111900;F;00000000000000000405;150;00000014627,69;D;00000000000,00;00000000000,00;00000014627,69;D;
17;111111900;F;00000000000000000390;153;00000000088,72;D;00000000000,00;00000000000,00;00000000088,72;D;
17;111111900;F;00000000000000000394;153;00000001286,63;D;00000000000,00;00000000000,00;00000001286,63;D;
17;111111900;F;00000000000000000414;153;00000079907,10;D;00000000000,00;00000000000,00;00000079907,10;D;
17;111111900;F;00000000000000000502;153;00000000000,00; ;00000013500,00;00000000000,00;00000013500,00;D;
17;111111900;F;00000000000000004114;153;00000081600,00;D;00000000000,00;00000000000,00;00000081600,00;D;
17;111111900;F;00000000000000004130;153;00000169940,00;D;00000000000,00;00000000000,00;00000169940,00;D;
17;111111900;F;00000000000000004132;153;00000000000,00; ;00000249940,00;00000000000,00;00000249940,00;D;
17;111111900;F;00000000000000005099;153;00000000000,00; ;00000004315,99;00000002315,99;00000002000,00;D;
17;111111900;F;00000000000000000217;155;00000031422,76;D;00000000000,00;00000000000,00;00000031422,76;D;
17;111111900;F;00000000000000000395;155;00000038606,72;D;00000000000,00;00000000000,00;00000038606,72;D;
17;111111900;F;00000000000000000396;155;00000328022,13;D;00000125482,25;00000000000,00;00000453504,38;D;
17;111111900;F;00000000000000000401;155;00000005171,06;D;00000000000,00;00000000000,00;00000005171,06;D;
17;111111900;F;00000000000000000415;155;00000020272,11;D;00000006919,85;00000000000,00;00000027191,96;D;
17;111111900;F;00000000000000003982;155;00000100000,00;D;00000100000,00;00000200000,00;00000000000,00; ;
17;111111900;F;00000000000000004019;155;00000047818,36;D;00000205281,43;00000225853,28;00000027246,51;D;
17;111111900;F;00000000000000004142;155;00000000000,00; ;00000497027,34;00000000000,00;00000497027,34;D;
17;111111900;F;00000000000000005024;155;00000002155,00;D;00000000627,85;00000000000,00;00000002782,85;D;
17;111111900;F;00000000000000005026;155;00000000000,00; ;00000020000,00;00000000279,00;00000019721,00;D;
17;111111900;F;00000000000000005116;155;00000000000,00; ;00000212589,00;00000212589,00;00000000000,00; ;
17;111111900;F;00000000000000000408;156;00000000301,34;D;00000000000,00;00000000000,00;00000000301,34;D;
17;111111900;F;00000000000000000416;156;00000035724,29;D;00000045544,90;00000007567,45;00000073701,74;D;
17;111111900;F;00000000000000000171;157;00000000408,65;D;00000000162,34;00000000000,00;00000000570,99;D;
17;111111900;F;00000000000000000310;157;00000001651,51;D;00000000000,00;00000000000,00;00000001651,51;D;
17;111111900;F;00000000000000000256;192;00000239011,02;D;00000000021,94;00000000513,39;00000238519,57;D;
17;111111900;F;00000000000000005103;224;00000066800,30;C;00000000000,00;00000000000,00;00000066800,30;C;
17;111111900;F;00000000000000000365;247;00000016056,33;C;00000000000,00;00000018643,60;00000034699,93;C;
17;111111900;F;00000000000000000340;248;00000496168,59;C;00000000000,00;00000094339,92;00000590508,51;C;
